Question,Answer
C++ lamda表达式有哪两种捕获方式,"捕获值的方式分两种，一种是按值捕获，一种是按引用捕获。按值捕获是不改变原有变量的值，按引用捕获是可以在Lambda表达式中改变原有变量的值。
[捕获值列表]:

1、空。没有使用任何函数对象参数。
2、=。函数体内可以使用Lambda所在作用范围内所有可见的局部变量（包括Lambda所在类的this），并且是值传递方式（相当于编译器自动为我们按值传递了所有局部变量）。
3、&。函数体内可以使用Lambda所在作用范围内所有可见的局部变量（包括Lambda所在类的this），并且是引用传递方式（相当于编译器自动为我们按引用传递了所有局部变量）。
4、this。函数体内可以使用Lambda所在类中的成员变量。
5、a。将a按值进行传递。按值进行传递时，函数体内不能修改传递进来的a的拷贝，因为默认情况下函数是const的。要修改传递进来的a的拷贝，可以添加mutable修饰符。
6、&a。将a按引用进行传递。
7、a, &b。将a按值进行传递，b按引用进行传递。
8、=，&a, &b。除a和b按引用进行传递外，其他参数都按值进行传递。
9、&, a, b。除a和b按值进行传递外，其他参数都按引用进行传递。"
Qt绑定信号槽有几种方式,"直接连接（Direct Connection）：直接连接会在发射信号时直接调用槽函数，这种连接方式是同步的。如果信号和槽函数运行的时间较长，可能会导致界面卡顿。因此，应该避免在主线程中使用此连接方式。
自动连接（Auto Connection）：Qt 会根据信号和槽函数的参数自动选择连接方式；如果信号和槽函数的参数类型一致，则使用直接连接，否则使用队列连接（Queued Connection）。
队列连接（Queued Connection）：队列连接是一种异步的连接方式，槽函数会被放入一个事件队列中，等待主循环处理。这种连接方式适用于多线程环境，因为槽函数会在主线程中执行，不会影响界面的响应。
拦截连接（Blocking Connection）：拦截连接是一种阻塞的连接方式，槽函数会在信号发射时立即执行，直到槽函数执行完毕后，信号才会继续传递给其他连接。
"
Windows异常处理和C++异常处理有什么区别,"https://zhuanlan.zhihu.com/p/382909501
和C++的try...catch...catch...不同，SEH中__try只能要么和一个__except搭配，要么和一个__finally搭配，不能同时出现多个__except或同时出现__except和__finally。"
C++ dynamic_cast是在什么时期进行类型转换的,"用于将一个指针或引用强制转换为另一个类型的指针或引用。
dynamic_cast 转换的步骤：
** 检查源指针或引用是否为 NULL**，如果是，直接返回 NULL 或抛出 std::bad_cast 异常。
检查目标类型是否与源类型兼容，如果不兼容，直接返回 NULL 或抛出 std::bad_cast 异常。在向下转型时，目标类型必须是派生类类型的指针或引用；在向上转型时，目标类型必须是基类类型的指针或引用。
进行类型转换。在向下转型时，编译器会利用对象的类型信息和虚函数表指针来计算出派生类对象的地址；在向上转型时，编译器会直接将派生类对象的地址转换为基类对象的地址。
检查转换结果是否有效，如果无效，返回 NULL 或抛出 std::bad_cast 异常。例如，在向下转型时，如果源指针或引用指向的对象不是目标类型的对象，或者源指针或引用不是指向多态类型的指针或引用，转换就是无效的。"
带虚函数的指针在转换后地址值会有什么变化,
多继承子类的对象的内存布局,"https://zhuanlan.zhihu.com/p/369778659
类的成员中除了普通成员变量，其他的都不存储在对象的内存空间中，只存储在静态区。
内存：成员变量中的普通成员变量
静态区：成员变量中的静态成员变量；成员函数（静态函数，普通函数，虚函数）

一个子类继承多个父类的情况下：
按照父类的方式构造内存空间，两个父类，按照继承的顺序，从左至右。
基于之前的内存空间再构建属于Deliver独有的成员，比如说成员变量。
在父类对应的虚表内，用相同名字的虚函数的指针覆盖哪个父类的虚函数的指针。
在第一个虚表里面添加新加的虚函数指针。
"
除了锁、原子操作外，还有哪些措施来处理同步问题,"临界区
临界区 (Critical Section) 是一段独占对某些共享资源访问的代码，在任意时刻只允许一个线程对共享资源进行访问。如果有多个线程试图同时访问临界区，那么在有一个线程进入后其他所有试图访问此临界区的线程将被挂起，并一直持续到进入临界区的线程离开。临界区在被释放后，其他线程可以继续抢占，并以此达到用原子方式操作共享资源的目的。
信号量
信号量是维护0到指定最大值之间的同步对象，用于线程的同步或者限制线程运行的数量。信号量状态在其计数大于0时是有信号的，而其计数是0时是无信号的。信号量对象在控制上可以支持有限数量共享资源的访问。
互斥量
windows下提供有互斥对象机制。 只有拥有互斥对象的线程才有访问公共资源的权限，因为互斥对象只有一个，所以能保证公共资源不会同时被多个线程访问。互斥不仅能实现同一应用程序的公共资源安全共享，还能实现不同应用程序的公共资源安全共享。不过该互斥量和mutex基本一样，所以用移植性更好的mutex更好。"
const关键字,"A: const 修饰指针指向的内容，则内容为不可变量。在“*”左边
B: const 修饰指针，则指针为不可变量。在“*”右边
C: const 修饰指针和指针指向的内容，则指针和指针指向的内容都为不可变量。"
指针,"int a = 8;
&a; a的地址
int* b; 一个整数型指针
*b; b里面的值"
面向对象编程思想,封装，继承和多态
