,
Java基本数据类型,byte、short、char、int、long、float、double、boolean
Java中 等于 和 equals 的区别,基本数据类型比较用双等号（==），比较的是值。引用类型：类、接口、数组。当他们用双等号（==）进行比较的时候，比较的是他们在内存中的存放地址。对象是放在堆中的，栈中存放的是对象的引用（地址）。由此可见，双等号是对栈中的值进行比较的。如果要比较堆中对象是否相同，那么就要重写equals方法了。
int、char、long 各占多少字节数,"boolen	8	1
int	        32	4
float	        32	4
double	64	8
char	        16	2
byte	         8	1
short	16	2
long	         64	8"
int 和 Integer 的区别,Integer 是int的包装类，int的初始值为零，而Integer的初值为null。int与Integer相比，会把Integer自动拆箱为int再去比。
Java多态，override，覆写,"多态的存在有三个前提：要有继承关系、子类重写父类方法、父类数据类型的引用指向子类对象。弊端就是：不能使用子类特有的成员属性和子类特有的成员方法。其实就是override,得保证函数的名字，input， 和output都相同。overload是在同一个类中有同样的名字，但是input和output可以不一样。"
overload，重载,overload是在同一个类中有同样的名字，但是input和output可以不一样。
String、StringBuffer、StringBuilder的区别,"String：字符串常量，使用字符串拼接时是不同的两个空间。
StringBuffer：字符串变量，线程安全，字符串拼接直接在字符串后追加。
StringBuilder：字符串变量，非线程安全，字符串拼接直接在字符串后追加。
StringBuilder执行效率高于StringBuffer高于String。String是一个常量，是不可变的，所以对于每次+=赋值都会创建一个新的对象，StringBuilder和StringBuffer都是可变的，当进行字符串拼接的时候采用append方法，在原来的基础上追加，所以性能要比String高，因为StringBuffer是线程安全的而StringBuilder是线程非安全的，所以StringBuilder的效率高于StringBuffer。对于大数据量的字符串拼接，采用StringBuffer、StringBuilder。但是好像现在string的合并调用的就是String Buffer，性能应该没有区别"
什么是内部类？内部类的作用,"静态内部类：Static
成员内部类：无修饰
匿名内部类：实现继承类和接口

内部类可以很好的实现隐蔽，一般的非内部类，是不允许有private和protectd等权限的，但内部类（除方法内部类）可以通过这些修饰符来实现隐蔽。

内部类拥有外部类的访问权限（分静态与非静态情况），通过这一特性可以比较好的处理类之间的关联性，将一类事物的流程放在一起内部处理。

通过内部类可以实现多重继承，Java默认是单继承的，我们可以通过多个内部类继承实现多个父类，接着由于外部类完全可访问内部类，所以就实现了类似多继承的效果。"
静态内部类,只是为了降低包的深度，方便类的使用，静态内部类适用于包含类当中，但又不依赖于外在的类，不用使用外在类的非静态属性和方法，只是为了方便管理类结构而定义。在创建静态内部类的时候，不需要外部类对象的引用。
